Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,ertert (product.metafields.custom.ertert),Größentabelle (product.metafields.custom.grosentabelle),Material & Pflege (product.metafields.custom.material_pflege),Material & Pflege2 (product.metafields.custom.material_pflege2),Handelsartikelbeschreibung (product.metafields.import_information.trade_item_description),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
berlin-tee,Berlin Tee,"<p>★ TOO S♡FT FOR THIS CITY ★<br><br>✦ ARTSHIRT BY E.B.H. WINTER ✦<br><br>@lilcloud666 <br><br>DREAMY TRASH-TIGER-TEDDY WITH A NEON HEART – LOST IN A UNIVERSE OF STARS AND NOISE.<br><br><br><br>A REMINDER THAT SOFTNESS IS A FORM OF SELF-EXPRESSION AND RESISTANCE.<br><br>AND THAT BEING TENDER IN THIS CITY ISN’T A WEAKNESS – IT’S PURE POWER.<br><br><br><br>✦ FRONT: HEART OPEN. EYES WIDE.<br><br>✦ BACK: BERLIN AS SLEEP PARALYSIS, LOVESONG, AND BIZARRE DISCO CHAOS.<br><br>✦ SLEEVE: SHARKY E-GUITAR – CUTE BUT LOUD.<br><br><br><br>FOR ALL THE SOFT BERLIN BITCHES (★‿★)<br><br><br></p>
<p><strong class=""size-guide-title"">Größentabelle</strong></p>
<div class=""table-responsive dynamic"" data-unit-system=""metric"">
<table cellpadding=""5"">
<tbody>
<tr>
<td> </td>
<td><strong>KÖRPERLÄNGE (cm)</strong></td>
<td><strong>BRUSTWEITE (cm)</strong></td>
<td><strong>ÄRMELLÄNGE (cm)</strong></td>
</tr>
<tr>
<td><strong>S</strong></td>
<td>69</td>
<td>49.5</td>
<td>22.5</td>
</tr>
<tr>
<td><strong>M</strong></td>
<td>73</td>
<td>53.5</td>
<td>24</td>
</tr>
<tr>
<td><strong>L</strong></td>
<td>75</td>
<td>56.5</td>
<td>24.5</td>
</tr>
<tr>
<td><strong>XL</strong></td>
<td>77</td>
<td>59.5</td>
<td>25</td>
</tr>
<tr>
<td><strong>2XL</strong></td>
<td>79</td>
<td>63.5</td>
<td>25.5</td>
</tr>
<tr>
<td><strong>3XL</strong></td>
<td>81</td>
<td>67.5</td>
<td>26</td>
</tr>
<tr>
<td><strong>4XL</strong></td>
<td>83</td>
<td>72.5</td>
<td>26</td>
</tr>
<tr>
<td><strong>5XL</strong></td>
<td>84</td>
<td>77.5</td>
<td>26</td>
</tr>
</tbody>
</table>
</div>",DSTRCTEE,Uncategorized,"","",true,Farbe,Cotton Pink,,Größe,S,,,,,6851879_17412,150.2524725625,shopify,deny,manual,31.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-cotton-pink-front-and-back-685fd7326467d.jpg?v=1751111486,1,Product mockup,false,,,,,"✔ Eigenschaften:
100 % Bio-Baumwolle (ringgesponnen)

Stoffgewicht: 180 g/m² (Single Jersey)

Unisex Medium Fit – moderner, bequemer Schnitt

Doppelnähte an Ärmeln und Saum für Langlebigkeit

Nackenband aus gleichem Stoff für angenehmes Tragegefühl

Vorderseite, Rückseite &amp; Ärmel bedruckt mit Originalkunst von Emilia Winter

♻ Zertifizierungen:
GOTS- &amp; OCS-zertifizierte Bio-Baumwolle

OEKO-TEX Standard 100 geprüft

PETA-Approved Vegan",..,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-cotton-pink-front-and-back-685fd7326467d.jpg?v=1751111486,oz,PC040100,19.40,active
berlin-tee,,,,,,,,,Cotton Pink,,,M,,,,,6851879_17413,170.09713875,shopify,deny,manual,31.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/IMG_1414.jpg?v=1751111744,2,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-cotton-pink-front-and-back-685fd7326467d.jpg?v=1751111486,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Cotton Pink,,,L,,,,,6851879_17414,175.767043375,shopify,deny,manual,31.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/IMG_1422.jpg?v=1751111744,3,"",,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-cotton-pink-front-and-back-685fd7326467d.jpg?v=1751111486,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Cotton Pink,,,XL,,,,,6851879_17415,187.106852625,shopify,deny,manual,31.50,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,4,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-cotton-pink-front-and-back-685fd7326467d.jpg?v=1751111486,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Cotton Pink,,,2XL,,,,,6851879_17416,192.77675725,shopify,deny,manual,32.60,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-black-front-and-back-685fd73266911.jpg?v=1751111744,5,Product mockup,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-cotton-pink-front-and-back-685fd7326467d.jpg?v=1751111486,oz,PC040100,20.70,
berlin-tee,,,,,,,,,Weiß,,,S,,,,,6851879_11864,150.2524725625,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Weiß,,,M,,,,,6851879_11865,170.09713875,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Weiß,,,L,,,,,6851879_11866,175.767043375,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Weiß,,,XL,,,,,6851879_11867,187.106852625,shopify,deny,manual,31.50,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,19.40,
berlin-tee,,,,,,,,,Weiß,,,2XL,,,,,6851879_11868,192.77675725,shopify,deny,manual,32.60,,true,true,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0911/1997/6821/files/unisex-organic-cotton-t-shirt-white-front-and-back-685fd732678b2.jpg?v=1751111744,oz,PC040100,20.70,
